compound score,media source,tweet date,tweet negative score,tweet neutral score,tweet positive score,tweet source,tweet text
0.6976,@CBS,Tue Apr 10 15:30:00 +0000 2018,0.0,0.747,0.253,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","The legendary @eltonofficial said ""It's the most wonderful feeling when someone records your song or sings your son… https://t.co/Krlqs3qNck"
0.6597,@CBS,Mon Apr 09 20:00:00 +0000 2018,0.0,0.779,0.221,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Are you ready for a good time? Tomorrow, Elton John: I’m Still Standing - A GRAMMY®￼ Salute airs at 9/8c on CBS and… https://t.co/Z3Mnp1cJPa"
0.0,@CBS,Mon Apr 09 17:29:47 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa"
0.0,@CBS,Mon Apr 09 17:00:02 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ"
0.2732,@CBS,Mon Apr 09 15:00:00 +0000 2018,0.086,0.784,0.129,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu
0.6239,@CBS,Mon Apr 09 13:36:00 +0000 2018,0.0,0.786,0.214,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb
0.6467,@CBS,Mon Apr 09 01:42:06 +0000 2018,0.0,0.72,0.28,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq
0.7096,@CBS,Sun Apr 08 22:00:01 +0000 2018,0.0,0.742,0.258,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN
0.5562,@CBS,Sun Apr 08 18:38:13 +0000 2018,0.0,0.854,0.146,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ
0.4199,@CBS,Sun Apr 08 15:00:00 +0000 2018,0.0,0.892,0.108,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme"
0.6696,@CBS,Sat Apr 07 19:35:08 +0000 2018,0.0,0.817,0.183,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k
0.0,@CBS,Sat Apr 07 18:28:03 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H
0.3612,@CBS,Sat Apr 07 16:30:02 +0000 2018,0.0,0.894,0.106,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn
0.0,@CBS,Sat Apr 07 15:31:12 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7"
0.0,@CBS,Fri Apr 06 21:10:18 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX
0.0,@CBS,Fri Apr 06 17:00:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e
0.0,@CBS,Fri Apr 06 13:45:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM
0.5859,@CBS,Thu Apr 05 21:44:00 +0000 2018,0.0,0.806,0.194,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa
0.6597,@CBS,Thu Apr 05 19:07:48 +0000 2018,0.0,0.759,0.241,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh"
-0.6808,@CNN,Tue Apr 10 22:46:12 +0000 2018,0.211,0.789,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Asked by @donlemon if he was worried, Trump lawyer Michael Cohen said, ""I would be lying to you if I told that I am… https://t.co/IbPDvP3lie"
0.5719,@CNN,Tue Apr 10 22:46:08 +0000 2018,0.0,0.749,0.251,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Mark Zuckerberg tells Sen. Cory Booker that he is ""committed"" to ensuring activist groups like Black Lives Matter a… https://t.co/lJIEDvXCp8"
0.0,@CNN,Tue Apr 10 22:42:41 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","In his first comments since the FBI raid on his home and office, Trump lawyer Michael Cohen said the FBI agents ""we… https://t.co/u4CnBiwRqe"
-0.4404,@CNN,Tue Apr 10 22:40:06 +0000 2018,0.153,0.847,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","While testifying before Congress, Mark Zuckerberg denied that Facebook is listening in on users' phone calls… https://t.co/6JeeNNQJJW"
0.0,@CNN,Tue Apr 10 22:34:05 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Blumenthal said he was ""dissatisfied"" with Mark Zuckerberg's testimony before Congress https://t.co/5NTRTCZ8xx https://t.co/hx5FABTEhM"
