,lat,lng,city,country,temp_max,humidity,wind_speed,cloudiness,Date
75,20.97,45.73,riyadh,SA,75.2,33.0,3.36,75.0,2018-04-03
76,81.3,-130.12,tuktoyaktuk,CA,-0.41,77.0,3.36,75.0,2018-04-03
77,27.17,-1.02,adrar,DZ,80.6,12.0,9.17,0.0,2018-04-03
78,26.76,26.13,marsa matruh,EG,62.6,77.0,12.75,40.0,2018-04-03
79,84.78,148.23,chokurdakh,RU,20.0,80.0,7.85,68.0,2018-04-03
80,-4.47,143.28,ambunti,PG,74.0,100.0,2.26,32.0,2018-04-03
81,56.71,-168.85,bethel,US,26.6,58.0,24.16,1.0,2018-04-03
82,-2.11,52.34,victoria,BN,78.8,94.0,3.15,75.0,2018-04-03
83,61.18,29.65,kuznechnoye,RU,25.49,70.0,10.42,0.0,2018-04-03
84,60.43,129.27,pokrovsk,UA,35.57,92.0,3.71,0.0,2018-04-03
85,29.76,-129.77,pacific grove,US,73.4,63.0,10.29,1.0,2018-04-03
86,73.24,142.2,deputatskiy,RU,-3.41,60.0,2.71,32.0,2018-04-03
87,61.1,45.49,udimskiy,RU,35.3,96.0,18.59,68.0,2018-04-03
88,-42.1,24.2,plettenberg bay,ZA,65.27,93.0,10.87,48.0,2018-04-03
89,31.14,-10.82,agadir,MA,60.8,82.0,11.41,20.0,2018-04-03
90,-4.34,30.41,kasulu,TZ,64.82,94.0,2.59,88.0,2018-04-03
91,70.77,178.43,leningradskiy,RU,15.86,97.0,23.73,20.0,2018-04-03
92,68.1,51.5,naryan-mar,RU,32.42,91.0,14.56,92.0,2018-04-03
93,23.89,-67.95,cockburn town,TC,77.15,99.0,14.45,68.0,2018-04-03
94,41.5,75.92,at-bashi,KG,12.89,55.0,2.59,0.0,2018-04-03
95,-49.03,26.3,kruisfontein,ZA,66.08,95.0,10.2,0.0,2018-04-03
96,83.4,81.38,dikson,RU,-10.52,73.0,10.42,12.0,2018-04-03
97,45.87,161.71,severo-kurilsk,RU,32.6,97.0,16.91,92.0,2018-04-03
98,-3.42,73.05,hithadhoo,MV,83.0,100.0,4.27,80.0,2018-04-03
99,1.82,25.25,buta,CD,75.35,92.0,1.92,76.0,2018-04-03
100,87.53,-48.71,upernavik,GL,18.38,100.0,9.08,88.0,2018-04-03
101,-28.96,2.62,luderitz,NA,66.2,72.0,3.36,56.0,2018-04-03
102,-76.22,44.63,port alfred,ZA,68.78,98.0,3.04,44.0,2018-04-03
103,35.92,105.71,pingliang,CN,47.72,66.0,7.63,80.0,2018-04-03
104,71.21,174.28,komsomolskiy,RU,14.96,86.0,13.56,92.0,2018-04-03
105,52.18,-32.44,lagoa,PT,59.0,87.0,13.87,20.0,2018-04-03
106,-35.3,171.21,ahipara,NZ,64.55,98.0,3.15,44.0,2018-04-03
107,-59.25,-12.78,cape town,ZA,64.4,82.0,9.17,0.0,2018-04-03
108,43.38,-160.41,kodiak,US,35.6,80.0,26.4,90.0,2018-04-03
109,33.09,97.63,tezu,IN,62.12,51.0,1.92,0.0,2018-04-03
110,14.58,-90.35,san jose pinula,GT,69.8,68.0,16.11,40.0,2018-04-03
111,10.3,-101.6,acapulco,MX,82.4,69.0,11.41,5.0,2018-04-03
112,21.91,-45.67,bathsheba,BB,78.8,74.0,14.99,40.0,2018-04-03
113,64.96,-40.37,tasiilaq,GL,19.4,73.0,20.8,88.0,2018-04-03
114,54.48,3.89,den helder,NL,46.4,93.0,12.75,90.0,2018-04-03
115,28.15,-56.42,saint george,GR,46.4,87.0,4.7,0.0,2018-04-03
116,6.24,71.42,kulhudhuffushi,MV,83.27,100.0,6.29,88.0,2018-04-03
117,2.88,130.63,sorong,ID,78.14,100.0,3.15,56.0,2018-04-03
118,22.18,21.13,faya,SA,60.8,63.0,3.71,0.0,2018-04-03
119,63.65,-7.82,vestmanna,FO,26.6,100.0,1.12,24.0,2018-04-03
120,42.34,-60.51,port hawkesbury,CA,33.8,55.0,9.17,1.0,2018-04-03
121,72.79,-51.48,ilulissat,GL,15.8,78.0,5.82,20.0,2018-04-03
122,62.33,-155.98,kenai,US,33.8,42.0,14.99,90.0,2018-04-03
123,30.28,136.59,shingu,JP,61.76,91.0,10.2,0.0,2018-04-03
124,52.95,8.9,syke,DE,57.2,71.0,9.17,0.0,2018-04-03
125,57.31,168.27,nikolskoye,RU,30.2,63.0,4.47,20.0,2018-04-03
126,-7.99,41.6,kilindoni,TZ,80.03,100.0,9.64,92.0,2018-04-03
127,26.23,82.62,jalalpur,IN,73.19,60.0,2.93,0.0,2018-04-03
128,-52.35,-37.57,rocha,UY,68.06,84.0,7.4,80.0,2018-04-03
129,40.38,-98.16,hastings,NZ,67.16,81.0,8.75,0.0,2018-04-03
130,-70.0,18.39,bredasdorp,ZA,66.17,96.0,15.46,12.0,2018-04-03
131,-29.07,109.21,geraldton,CA,21.2,22.0,5.82,40.0,2018-04-03
132,57.31,116.56,kropotkin,RU,40.7,87.0,8.63,0.0,2018-04-03
133,-43.54,169.63,wanaka,NZ,56.72,50.0,11.54,0.0,2018-04-03
134,61.04,-102.37,flin flon,CA,19.4,34.0,9.17,5.0,2018-04-03
135,16.72,95.31,wakema,MM,78.05,75.0,4.94,56.0,2018-04-03
136,-5.31,-24.87,cabedelo,BR,80.6,78.0,6.93,20.0,2018-04-03
137,62.63,93.2,severo-yeniseyskiy,RU,5.15,58.0,8.19,56.0,2018-04-03
138,54.89,-52.91,saint anthony,US,44.6,22.0,17.22,1.0,2018-04-03
139,70.03,-137.52,aklavik,CA,5.0,65.0,9.17,90.0,2018-04-03
140,7.21,137.41,airai,TL,67.7,87.0,1.59,44.0,2018-04-03
141,60.47,-114.51,hay river,CA,8.6,60.0,11.41,40.0,2018-04-03
142,-0.27,133.6,manokwari,ID,82.55,98.0,10.65,20.0,2018-04-03
143,-21.25,3.93,namibe,AO,79.04,100.0,10.42,92.0,2018-04-03
144,43.3,112.94,erenhot,CN,19.55,73.0,9.31,0.0,2018-04-03
145,6.72,100.65,sadao,TH,78.8,88.0,2.24,75.0,2018-04-03
146,60.99,84.38,belyy yar,RU,17.6,78.0,4.47,0.0,2018-04-03
147,28.07,-25.02,los llanos de aridane,ES,64.4,72.0,6.93,32.0,2018-04-03
148,68.15,146.55,belaya gora,RU,2.18,59.0,2.82,0.0,2018-04-03
149,8.71,48.13,garowe,SO,74.81,76.0,9.53,12.0,2018-04-03
150,-73.78,132.88,new norfolk,AU,59.0,58.0,8.05,0.0,2018-04-03
151,-15.55,65.59,grand gaube,MU,80.6,88.0,8.05,75.0,2018-04-03
152,-57.68,74.63,souillac,FR,53.6,81.0,13.87,0.0,2018-04-03
153,-40.26,-69.35,neuquen,AR,73.4,49.0,3.36,0.0,2018-04-03
154,38.91,-103.51,cimarron hills,US,51.8,24.0,11.41,20.0,2018-04-03
155,72.62,-164.92,nome,US,84.2,65.0,11.41,75.0,2018-04-03
156,-21.95,30.13,beitbridge,ZA,73.1,71.0,8.41,0.0,2018-04-03
157,76.15,113.59,saskylakh,RU,-20.6,30.0,5.39,0.0,2018-04-03
158,40.04,-125.14,fortuna,ES,60.8,93.0,4.7,0.0,2018-04-03
159,-20.04,-149.27,teahupoo,PF,87.8,62.0,3.36,75.0,2018-04-03
160,62.58,94.22,baykit,RU,10.91,81.0,6.73,56.0,2018-04-03
161,27.23,-77.28,marsh harbour,BS,74.45,100.0,12.66,36.0,2018-04-03
162,-39.74,-95.51,ancud,CL,60.5,97.0,11.65,92.0,2018-04-03
163,-1.28,26.44,kindu,CD,73.73,89.0,2.37,92.0,2018-04-03
164,-22.42,158.05,hervey bay,AU,72.74,100.0,16.8,100.0,2018-04-03
165,56.45,-70.19,port-cartier,CA,32.0,100.0,11.41,40.0,2018-04-03
166,63.01,45.83,dvinskoy,RU,33.41,94.0,11.65,88.0,2018-04-03
167,31.16,-79.97,wilmington island,US,84.2,57.0,13.87,1.0,2018-04-03
168,-25.33,161.34,pouembout,NC,74.27,83.0,4.83,80.0,2018-04-03
169,53.04,-96.39,gimli,CA,21.26,100.0,4.94,12.0,2018-04-03
170,-46.1,-58.71,viedma,AR,81.92,38.0,13.11,8.0,2018-04-03
171,30.75,139.5,shimoda,JP,64.46,99.0,11.21,0.0,2018-04-03
172,25.65,-88.73,dzilam gonzalez,MX,89.3,47.0,9.42,0.0,2018-04-03
173,-1.36,80.89,matara,PE,61.85,43.0,2.37,20.0,2018-04-03
174,61.58,108.63,yerbogachen,RU,4.61,68.0,2.59,8.0,2018-04-03
175,54.9,-143.36,haines junction,CA,11.0,75.0,2.93,80.0,2018-04-03
176,53.01,5.87,heerenveen,NL,55.4,100.0,4.7,90.0,2018-04-03
177,-55.99,-36.27,mar del plata,AR,64.1,64.0,4.27,80.0,2018-04-03
178,-4.24,-51.38,altamira,BR,77.0,94.0,2.24,0.0,2018-04-03
179,68.16,-62.28,pangnirtung,CA,28.4,63.0,8.05,75.0,2018-04-03
180,52.9,111.46,sosnovo-ozerskoye,RU,6.05,65.0,3.71,56.0,2018-04-03
181,-4.26,139.95,vanimo,PG,84.26,97.0,15.68,32.0,2018-04-03
