City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,charlestown,1,US,1526850900,77,41.38,-71.64,75.2,9.17
77,kailua,90,US,1526849820,69,21.39,-157.74,86.0,10.29
78,lebu,56,ET,1526852090,90,8.96,38.73,52.94,2.19
79,salou,0,ES,1526850000,82,41.08,1.14,62.6,1.12
80,port moresby,20,PG,1526846400,100,-9.47,147.16,77.0,3.36
81,lagoa,20,PT,1526850000,93,37.14,-8.45,62.6,3.36
82,benalla,75,AU,1526850000,93,-36.55,145.99,51.8,16.11
83,den helder,0,NL,1526849700,77,52.96,4.76,62.6,9.17
84,hambantota,92,LK,1526852092,100,6.12,81.12,77.42,17.74
85,kokopo,24,PG,1526852092,100,-4.34,152.27,80.3,4.65
86,whitehorse,90,CA,1526846940,62,60.72,-135.06,51.8,11.41
87,vaini,24,IN,1526852093,91,15.34,74.49,72.56,3.42
88,paracuru,0,BR,1526850000,78,-3.41,-39.03,82.4,9.17
89,moa,88,CU,1526852028,74,20.66,-74.95,78.59,4.76
90,boralday,20,KZ,1526850000,70,43.36,76.86,44.6,2.24
91,gilbues,8,BR,1526852094,40,-9.83,-45.34,87.41,3.65
92,saskylakh,8,RU,1526852095,81,71.97,114.09,16.58,7.0
93,praya,20,ID,1526850000,94,-8.71,116.27,75.2,3.36
94,hasaki,75,JP,1526848200,76,35.73,140.83,51.8,1.12
95,arraial do cabo,0,BR,1526850000,56,-22.97,-42.02,71.6,16.11
96,cape town,90,ZA,1526850000,88,-33.93,18.42,62.6,17.22
97,san patricio,0,PY,1526852096,65,-26.98,-56.83,56.81,2.42
98,mahebourg,75,MU,1526850000,88,-20.41,57.7,71.6,14.99
99,port hawkesbury,90,CA,1526850000,93,45.62,-61.36,55.4,13.87
100,yellowknife,75,CA,1526846400,32,62.45,-114.38,53.6,10.29
101,vestmannaeyjar,75,IS,1526847900,75,63.44,-20.27,42.8,28.86
102,grand-lahou,0,CI,1526852098,85,5.24,-5.0,78.59,7.0
103,atasu,0,KZ,1526852099,58,48.68,71.64,43.67,4.54
104,anadyr,0,RU,1526850000,92,64.73,177.51,30.2,11.18
105,saint george,75,GR,1526849400,93,39.45,22.34,64.4,2.75
106,westport,90,IE,1526846400,100,53.8,-9.52,53.6,6.93
107,klyuchi,92,RU,1526852100,49,52.25,79.17,51.23,10.8
108,punta arenas,0,CL,1526850000,75,-53.16,-70.91,42.8,26.4
109,nanortalik,80,GL,1526852101,94,60.14,-45.24,32.06,13.82
110,sitka,0,US,1526852101,79,37.17,-99.65,73.19,4.76
111,micheweni,92,TZ,1526852101,100,-4.97,39.83,80.75,20.54
112,barrow,88,AR,1526852102,59,-38.31,-60.23,55.46,11.36
113,clyde river,90,CA,1526851680,85,70.47,-68.59,23.0,9.17
114,cayenne,40,GF,1526850000,88,4.94,-52.33,80.6,5.82
115,margate,8,AU,1526850000,61,-43.03,147.26,50.0,9.17
116,birpur,32,NP,1526852103,86,26.52,87.01,76.52,7.11
117,abu kamal,92,SY,1526852104,18,34.45,40.92,85.52,7.45
118,tautira,40,PF,1526850000,70,-17.73,-149.15,84.2,9.17
119,thompson,40,CA,1526850000,44,55.74,-97.86,59.0,3.36
120,hithadhoo,92,MV,1526852105,100,-0.6,73.08,84.44,8.79
121,cidreira,68,BR,1526852106,91,-30.17,-50.22,55.64,19.08
122,east london,92,ZA,1526852058,100,-33.02,27.91,68.06,17.74
123,klaksvik,68,FO,1526847600,70,62.23,-6.59,44.6,9.17
124,purwodadi,12,ID,1526852107,96,-7.08,110.92,70.4,2.86
125,guerrero negro,8,MX,1526852107,71,27.97,-114.04,68.87,12.48
126,north platte,24,US,1526852107,100,41.12,-100.77,61.22,5.77
127,longyearbyen,75,NO,1526849400,74,78.22,15.63,33.8,18.34
128,saint-philippe,1,CA,1526850900,37,45.36,-73.48,68.0,11.41
129,luderitz,8,NA,1526852108,93,-26.65,15.16,57.53,5.77
130,gazli,8,UZ,1526852109,23,40.13,63.45,66.44,8.68
131,baykit,0,RU,1526852109,76,61.68,96.39,19.73,2.64
132,woodward,1,US,1526850900,37,36.43,-99.39,73.4,8.05
133,canandaigua,75,US,1526850900,72,42.88,-77.28,69.8,5.82
134,castro,56,CL,1526852110,95,-42.48,-73.76,48.62,2.75
135,kodiak,90,US,1526849580,88,39.95,-94.76,69.8,5.82
136,ust-kuyga,88,RU,1526852111,99,70.0,135.55,32.69,5.32
137,jiuquan,76,CN,1526852111,71,39.73,98.49,43.94,14.05
138,puerto ayora,75,EC,1526850000,69,-0.74,-90.35,80.6,21.92
139,hobart,20,AU,1526850000,61,-42.88,147.33,50.0,9.17
140,bluff,48,AU,1526852112,63,-23.58,149.07,48.89,9.8
141,caravelas,76,BR,1526852112,97,-17.73,-39.27,79.94,14.05
142,gondar,20,PT,1526850000,67,41.82,-8.78,60.8,2.24
143,vangaindrano,92,MG,1526852113,100,-23.35,47.6,63.92,2.53
144,birjand,0,IR,1526850000,24,32.86,59.22,57.2,9.17
145,broome,90,GB,1526849760,93,52.47,1.45,55.4,5.82
146,alihe,0,CN,1526852114,84,50.57,123.73,48.17,2.98
147,katobu,64,ID,1526852114,100,-4.94,122.53,79.76,5.44
148,mecca,0,SA,1526850000,59,21.43,39.83,89.6,2.24
149,carmo do rio verde,8,BR,1526852115,66,-15.36,-49.71,69.41,8.01
150,jaisinghnagar,36,IN,1526852116,36,23.63,78.57,82.19,5.99
151,acapulco,5,MX,1526849460,70,16.86,-99.88,87.8,9.17
152,sal rei,75,CV,1526850000,73,16.18,-22.92,69.8,16.11
153,mahajanga,20,MG,1526850000,60,-15.72,46.32,75.2,6.93
154,montanhas,75,BR,1526846400,74,-6.49,-35.29,82.4,14.99
155,bima,24,ID,1526852117,97,-8.45,118.73,75.98,3.98
156,hornepayne,12,CA,1526852117,50,49.22,-84.78,60.41,11.03
157,kawalu,76,ID,1526852118,100,-7.38,108.21,67.52,1.07
158,san quintin,75,PH,1526850000,94,17.54,120.52,78.8,4.7
159,henties bay,32,NA,1526852118,100,-22.12,14.28,59.15,8.79
