Description,Index,Connecticut,Andover,Ansonia PD,Ashford CSP,Avon PD,Barkhamsted CSP,Beacon Falls CSP,Berlin PD,Bethany CSP,Bethel PD,Bethlehem CSP,Bloomfield PD,Bolton CSP,Bozrah CSP,Branford PD,Bridgeport PD,Bridgewater CSP,Bristol PD,Brookfield PD,Brooklyn CSP,Burlington CSP,Canaan CSP,Canterbury CSP,Canton PD,Chaplin CSP,Cheshire PD,Chester CSP,Clinton PD,Colchester CSP,Colebrook CSP,Columbia CSP,Cornwall CSP,Coventry PD,Cromwell PD,Danbury PD,Darien PD,Deep River CSP,Derby PD,Durham CSP,Eastford CSP,East Granby CSP,East Haddam CSP,East Hampton PD,East Hartford PD,East Haven PD,East Lyme CSP,Easton PD,East Windsor PD,Ellington CSP,Enfield PD,Essex CSP,Fairfield PD,Farmington PD,Franklin CSP,Glastonbury PD,Goshen CSP,Granby PD,Greenwich PD,Griswold CSP,Groton City PD,Guilford PD,Haddam CSP,Hamden PD,Hampton CSP,Hartford PD,Hartland CSP,Harwinton CSP,Hebron CSP,Kent CSP,Killingly CSP,Killingworth CSP,Lebanon CSP,Ledyard CSP,Lisbon CSP,Litchfield CSP,Lyme CSP,Madison PD,Manchester PD,Mansfield CSP,Marlborough CSP,Meriden PD,Middlebury PD,Middlefield CSP,Middletown PD,Milford PD,Monroe PD,Montville CSP,Morris CSP,Naugatuck PD,New Britain PD,New Canaan PD,New Fairfield CSP,New Hartford CSP,New Haven PD,Newington PD,New London PD,New Milford PD,Newtown PD,Norfolk CSP,North Branford PD,North Canaan CSP,North Haven PD,North Stonington CSP,Norwalk PD,Norwich PD,Old Lyme CSP,Old Saybrook PD,Orange PD,Oxford CSP,Plainfield PD,Plainville PD,Plymouth PD,Pomfret CSP,Portland PD,Preston CSP,Prospect CSP,Putnam PD,Putnam CSP,Redding PD,Ridgefield PD,Rocky Hill PD,Roxbury CSP,Salem CSP,Salisbury CSP,Scotland CSP,Seymour PD,Sharon CSP,Shelton PD,Sherman CSP,Simsbury PD,Somers CSP,Southbury CSP,Southington PD,South Windsor PD,Sprague CSP,Stafford CSP,Stamford PD,Sterling CSP,Stonington PD,Stratford PD,Suffield PD,Thomaston PD,Thompson CSP,Tolland CSP,Torrington PD,Trumbull PD,Union CSP,Vernon PD,Voluntown CSP,Wallingford PD,Warren CSP,Washington CSP,Waterbury PD,Waterford PD,Watertown PD,Westbrook CSP,West Hartford PD,West Haven PD,Weston PD,Westport PD,Wethersfield PD,Willington CSP,Wilton PD,Winchester PD,Willimantic PD,Windham CSP,Windsor PD,Windsor Locks PD,Wolcott PD,Woodbridge PD,Woodbury CSP,Woodstock CSP,Yale Univ. PD,UCONN-Storrs PD,Foxwoods Casino CSP,Mohegan Sun Casino CSP,MTA PD,CCSU PD,ECSU PD,UCONN Health Ctr. PD,WCSU PD,SCSU PD,Capitol Police PD,Groton Town PD,Groton Long Pt. PD,CTSPOther,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham,New York,Urban,NonUrban,CSP Total,NIBRS,Summary
Rape Attempted Clearances,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,5,2,0,0,0,8,7,1,10,5
Robbery Highway Offenses,12,"2,131",0,13,0,0,0,0,1,0,0,0,3,0,0,2,409,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,4,0,0,0,0,0,17,6,0,0,1,0,3,0,1,0,0,0,0,0,0,0,3,0,0,26,0,468,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0,24,0,0,9,1,0,0,0,2,90,0,0,0,592,2,18,0,1,0,0,0,1,0,58,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,126,0,1,16,0,0,0,0,3,0,0,2,0,0,0,0,87,0,1,0,8,18,0,0,0,0,0,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,659,624,7,12,780,42,2,5,0,"1,682",449,5,950,"1,181"
Robbery Highway Value_Stolen,13,"827,136",0,"4,094",0,0,0,0,0,0,0,0,690,0,0,"2,345","354,685",0,"2,275",0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,"8,169",0,0,829,0,0,0,0,0,"8,554","1,711",0,0,100,0,565,0,0,0,0,0,0,0,0,0,101,0,0,"3,948",0,0,0,0,0,0,0,0,0,60,0,0,0,1,"1,377",0,0,"9,162",0,0,"1,020",207,0,0,0,155,"42,400",0,0,0,"273,059",425,"1,646",0,700,0,0,0,425,0,"7,812","8,073",0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,356,0,0,0,0,610,0,0,0,"29,638",0,"1,000","18,454",0,0,0,0,"1,725",0,0,90,0,0,0,0,"31,722",0,0,0,"2,657","3,152",0,0,0,0,0,30,"1,200",0,338,0,0,0,0,0,"1,100",0,0,0,0,0,0,0,0,0,0,150,0,101,"419,814","59,991","1,930","1,121","331,960","11,030",90,"1,200",0,"689,104","138,032",166,"366,099","461,037"
Robbery Commercial_House Offenses,14,507,0,1,1,0,0,0,1,0,1,0,0,1,0,2,69,0,9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12,0,0,2,0,0,0,0,0,17,2,0,0,1,0,3,0,2,8,0,2,0,1,6,0,0,0,0,15,0,45,0,0,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,5,0,1,0,0,4,14,0,0,1,62,3,6,1,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,1,1,0,0,1,1,0,0,30,0,0,16,0,0,0,1,2,7,0,2,0,8,0,0,31,1,1,0,23,9,0,2,3,0,0,0,3,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,158,166,5,7,142,16,5,8,0,237,270,10,290,217
Robbery Commercial_House Value_Stolen,15,"821,089",0,698,10,0,0,0,550,0,420,0,0,500,0,955,"35,517",0,"2,123",400,0,0,0,0,0,0,0,0,700,0,0,0,0,260,50,"4,137",0,0,101,0,0,0,0,0,"4,950",3,0,0,116,0,460,0,50,"4,234",0,0,0,43,"75,220",0,0,0,0,"12,423",0,0,0,0,0,0,18,0,0,0,0,0,0,0,"7,242",0,0,0,0,0,"1,536",0,248,0,0,"2,759","6,533",0,0,600,"26,262","1,120","2,518",502,0,0,0,0,"36,045","1,986","3,392",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,"2,300",0,0,0,0,161,0,"1,697",264,18,0,0,140,"2,745",0,0,"220,634",0,0,"27,550",0,0,0,297,2,"3,442",0,948,0,"4,142",0,0,"31,551","2,440",227,0,"5,083","11,144",0,"4,150","12,240",0,0,0,"235,281",900,2,"11,750","2,370",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4,909",0,0,"377,121","61,649","1,331","2,286","128,614","11,854","2,005","236,229",0,"313,964","507,125","4,576","718,340","102,749"
Robbery Gas/Service_Station Offenses,16,59,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,2,3,23,3,1,0,0,21,38,4,39,20
Robbery Gas/Service_Station Value_Stolen,17,"57,912",0,0,0,0,0,0,0,0,0,1,0,0,0,350,"4,800",0,"7,347",0,0,0,0,0,0,0,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0,220,2,0,0,0,0,0,0,0,60,0,0,0,0,"8,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,538,0,0,0,"7,855",0,0,0,0,0,0,0,700,0,1,"3,500",0,"1,200",0,4,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,440,0,0,500,0,0,0,0,1,0,0,0,0,0,0,0,"20,050",0,0,0,0,355,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,801","8,984",2,"2,005","37,399","3,501",220,0,0,"33,145","24,767",226,"28,315","29,597"
Robbery Chain_Store Offenses,18,193,1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,2,0,0,0,0,8,0,0,0,0,0,8,0,1,0,0,1,0,0,1,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,2,1,0,1,0,0,13,0,0,0,18,3,4,0,0,0,0,0,1,0,3,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,4,0,1,6,0,0,0,0,0,0,0,3,0,5,0,0,15,0,2,0,0,5,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,41,48,3,8,70,13,6,4,0,60,133,10,102,91
Robbery Chain_Store Value_Stolen,19,"106,868",222,20,0,0,0,0,940,0,0,0,0,0,0,0,"12,990",0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,150","9,006",0,0,172,76,0,0,0,0,"1,080",0,0,0,0,0,"1,887",0,75,0,0,"1,128",0,0,20,0,0,0,0,"7,986",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,"1,229",0,"3,299",0,0,55,0,0,80,0,0,"12,375",0,0,0,"9,245",447,47,0,0,0,0,0,"2,101",0,531,"1,200",0,0,0,0,0,909,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,"2,857",0,100,0,0,458,0,0,120,"5,076",0,259,"6,738",0,0,0,0,0,0,0,"4,357",0,"1,553",0,0,"5,412",0,650,0,0,915,0,400,400,0,0,0,"1,016",0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,754,0,300,"37,693","20,024",673,"7,581","30,913","3,040","5,928","1,016",0,"32,723","74,145","2,750","58,218","48,650"
Robbery Residence Offenses,20,414,0,1,0,0,0,0,0,0,0,0,2,0,0,1,95,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,2,1,0,0,2,0,23,1,0,0,0,1,2,1,3,0,0,1,0,2,1,1,2,1,0,4,0,41,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,1,5,1,0,1,0,4,16,1,0,0,65,1,10,1,1,0,1,0,1,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,14,0,0,8,0,0,0,0,2,3,0,0,0,1,0,0,26,0,1,0,7,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,145,111,4,10,117,24,2,1,0,241,173,10,210,204
Robbery Residence Value_Stolen,21,"574,362",0,"2,600",0,0,0,0,0,0,0,0,"4,400",0,0,1,"82,688",0,"13,879",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,"20,185",2,0,501,1,0,0,256,0,"24,330",600,0,0,0,"1,000","1,820",45,"5,611",0,0,"10,000",0,"3,065","3,700",15,610,0,0,"4,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,"1,016",0,0,"2,602",320,0,900,0,"19,451","12,182",100,0,0,"64,597",20,"4,501",250,"1,000",0,"1,512",0,1,0,"4,416","1,440",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,100",0,0,0,0,0,0,35,0,268,0,0,0,0,521,0,83,0,"140,622",0,0,"10,140",0,0,0,0,"3,563","12,002",0,0,0,1,0,0,"22,373",0,0,0,"55,827",60,0,"3,400",42,0,0,0,"27,750",0,0,150,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,466,0,0,"285,234","127,205","3,813","2,904","117,468","8,015","1,973","27,750",0,"310,280","264,082","2,300","431,308","143,054"
Robbery Bank Offenses,22,89,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1,1,0,1,0,0,2,1,0,0,0,2,0,5,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,3,0,0,2,4,0,0,1,0,2,0,0,0,3,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,2,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,26,4,4,28,2,4,2,0,20,69,7,55,34
Robbery Bank Value_Stolen,23,"1,010,759",0,0,0,0,0,0,"7,342",0,0,0,0,0,0,"12,279","78,857",0,"3,065","4,727",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,742","605,247",0,0,0,0,0,0,0,0,0,"56,378","2,900",0,0,0,0,"2,611",0,"7,260","2,172",0,"2,028",0,0,"1,903",1,0,0,0,"5,967",0,0,0,0,0,"9,288","9,680",0,0,0,0,0,0,"2,803",0,"13,710",0,"3,860",0,0,631,"60,733",0,0,"26,940",0,"1,602",0,0,0,"6,250",110,0,"5,279","4,000",0,0,0,0,0,"1,303","9,035",0,0,"4,500",0,"7,200",0,0,0,0,0,"8,535",0,0,0,0,0,0,0,0,0,0,0,"3,000",0,0,0,0,"2,067",0,0,0,52,0,0,"1,800",0,0,0,0,0,"8,371",0,0,0,1,0,0,"3,630",0,0,0,"5,927",221,0,0,"3,500",0,0,0,0,0,"2,152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"111,273","88,954","41,507","605,978","111,679","9,036","25,452","16,880",0,"88,789","921,970","68,254","850,100","160,659"
