Description,Index,CT,Andover,Ansonia PD,Ashford CSP,Avon PD,Barkhamsted CSP,Beacon Falls CSP,Berlin PD,Bethany CSP,Bethel PD,Bethlehem CSP,Bloomfield PD,Bolton CSP,Bozrah CSP,Branford PD,Bridgeport PD,Bridgewater CSP,Bristol PD,Brookfield PD,Brooklyn CSP,Burlington CSP,Canaan CSP,Canterbury CSP,Canton PD,Chaplin CSP,Cheshire PD,Chester CSP,Clinton PD,Colchester CSP,Colebrook CSP,Columbia CSP,Cornwall CSP,Coventry PD,Cromwell PD,Danbury PD,Darien PD,Deep River CSP,Derby PD,Durham CSP,Eastford CSP,East Granby CSP,East Haddam CSP,East Hampton PD,East Hartford PD,East Haven PD,East Lyme CSP,Easton PD,East Windsor PD,Ellington CSP,Enfield PD,Essex CSP,Fairfield PD,Farmington PD,Franklin CSP,Glastonbury PD,Goshen CSP,Granby PD,Greenwich PD,Griswold CSP,Groton City PD,Guilford PD,Haddam CSP,Hamden PD,Hampton CSP,Hartford PD,Hartland CSP,Harwinton CSP,Hebron CSP,Kent CSP,Killingly CSP,Killingworth CSP,Lebanon CSP,Ledyard CSP,Lisbon CSP,Litchfield CSP,Lyme CSP,Madison PD,Manchester PD,Mansfield CSP,Marlborough CSP,Meriden PD,Middlebury PD,Middlefield CSP,Middletown PD,Milford PD,Monroe PD,Montville CSP,Morris CSP,Naugatuck PD,New Britain PD,New Canaan PD,New Fairfield CSP,New Hartford CSP,New Haven PD,Newington PD,New London PD,New Milford PD,Newtown PD,Norfolk CSP,North Branford PD,North Canaan CSP,North Haven PD,North Stonington CSP,Norwalk PD,Norwich PD,Old Lyme CSP,Old Saybrook PD,Orange PD,Oxford CSP,Plainfield PD,Plainville PD,Plymouth PD,Pomfret CSP,Portland PD,Preston CSP,Prospect CSP,Putnam PD,Putnam CSP,Redding PD,Ridgefield PD,Rocky Hill PD,Roxbury CSP,Salem CSP,Salisbury CSP,Scotland CSP,Seymour PD,Sharon CSP,Shelton PD,Sherman CSP,Simsbury PD,Somers CSP,Southbury CSP,Southington PD,South Windsor PD,Sprague CSP,Stafford CSP,Stamford PD,Sterling CSP,Stonington PD,Stratford PD,Suffield PD,Thomaston PD,Thompson CSP,Tolland CSP,Torrington PD,Trumbull PD,Union CSP,Vernon PD,Voluntown CSP,Wallingford PD,Warren CSP,Washington CSP,Waterbury PD,Waterford PD,Watertown PD,Westbrook CSP,West Hartford PD,West Haven PD,Weston PD,Westport PD,Wethersfield PD,Willington CSP,Wilton PD,Winchester PD,Willimantic PD,Windham CSP,Windsor PD,Windsor Locks PD,Wolcott PD,Woodbridge PD,Woodbury CSP,Woodstock CSP,Yale Univ. PD,UCONN-Storrs PD,Foxwoods Casino CSP,Mohegan Sun Casino CSP,MTA PD,CCSU PD,ECSU PD,UCONN Health Ctr. PD,WCSU PD,SCSU PD,Capitol Police PD,Groton Town PD,Groton Long Pt. PD,CTSPOther,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham,New York,Urban,NonUrban,CSP Total,NIBRS,Summary
Disord Asian,690,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,0,0,0,5,10,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,17,54,1,4,34,6,3,1,0,43,77,7,40,80
Disord 30-34,682,"1,470",0,6,0,0,0,0,0,0,0,0,0,1,0,2,54,1,37,0,0,0,0,0,3,1,10,0,3,5,0,1,0,0,4,30,1,0,1,0,0,1,0,3,3,9,0,0,2,2,48,0,0,5,0,0,0,1,1,1,0,4,0,7,0,257,0,0,1,0,5,0,1,2,1,0,0,2,2,1,0,48,0,0,2,9,0,2,0,29,154,0,0,0,84,0,20,2,1,1,3,3,7,0,20,9,0,15,3,2,0,9,6,0,1,1,0,4,0,1,2,0,0,0,0,0,3,0,1,0,1,0,2,4,1,0,1,28,0,12,7,0,0,1,0,28,3,0,12,0,22,1,0,216,0,1,0,13,83,0,3,2,0,0,1,28,3,15,1,5,1,2,0,0,1,0,2,0,0,1,0,0,0,0,2,0,6,152,559,46,34,558,58,20,43,0,639,831,51,494,976
Disord 35-39,683,"1,195",0,4,1,2,0,0,0,0,2,0,1,0,0,1,44,0,21,0,0,0,0,1,2,0,9,0,2,4,0,0,0,1,0,22,0,1,1,0,0,1,0,2,4,3,0,0,2,0,36,0,3,7,1,1,0,0,1,3,0,3,1,8,0,178,0,0,0,0,3,1,4,3,1,1,0,2,6,0,3,25,3,2,2,8,2,1,0,38,94,1,2,0,77,3,12,2,1,0,1,0,6,0,17,9,0,10,3,3,0,10,9,1,1,0,0,6,0,0,3,1,0,2,0,0,4,0,2,0,2,0,0,4,2,0,0,19,0,8,7,1,1,0,0,16,3,0,20,0,17,0,0,183,2,2,0,12,65,0,2,2,0,1,2,32,1,20,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5,132,415,35,27,465,55,21,45,0,501,694,51,471,724
Disord 40-44,684,"1,209",0,4,0,2,2,0,0,0,3,1,0,2,1,4,34,0,28,0,0,1,0,0,2,0,11,0,2,0,0,0,1,3,0,25,1,0,2,1,0,0,0,8,2,5,1,0,2,1,38,0,0,9,0,5,0,2,3,1,2,4,0,7,0,156,0,2,1,0,3,0,0,0,1,3,0,4,4,1,2,18,0,1,4,20,3,2,1,23,95,1,0,0,52,2,7,3,1,1,6,0,9,3,15,16,0,10,4,5,0,13,7,0,0,0,0,3,0,0,2,0,0,2,0,0,11,0,4,1,2,1,0,4,2,1,0,15,0,23,17,0,3,1,0,28,4,0,15,0,20,0,1,194,0,1,1,10,63,0,1,2,0,0,6,24,0,11,0,1,0,2,1,0,0,2,2,1,0,0,0,0,0,0,4,0,4,131,394,62,31,467,68,24,32,0,451,758,57,481,728
Disord 45-49,685,"1,261",0,9,1,2,0,1,0,0,4,0,0,0,0,2,41,2,26,0,1,1,1,0,1,0,11,0,2,5,1,0,0,2,2,21,0,0,2,0,0,0,2,2,4,7,1,0,3,1,34,0,2,8,0,2,1,0,1,2,0,5,0,6,0,194,0,2,0,0,9,0,1,1,1,1,0,2,2,0,3,21,2,1,3,7,0,3,1,40,79,1,0,1,63,1,7,4,1,0,3,0,12,0,20,7,0,14,3,2,0,12,15,0,2,0,1,4,1,4,2,0,0,0,0,0,10,0,3,0,1,0,0,2,2,0,1,25,0,20,11,1,1,1,0,25,9,0,16,0,19,0,0,193,2,0,3,16,73,1,3,3,0,1,4,17,0,10,2,3,2,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,2,150,410,59,33,499,55,21,34,0,516,745,59,523,738
Disord 50-54,686,820,1,2,0,11,0,0,0,0,1,0,0,0,0,2,23,1,13,0,1,0,0,0,1,0,5,0,2,2,0,0,0,1,1,19,0,0,1,0,0,0,1,3,1,12,2,0,1,0,27,0,1,2,0,3,0,1,0,1,0,7,0,1,0,127,1,1,0,2,3,0,1,0,1,1,0,2,4,0,0,17,2,0,1,10,3,1,0,13,49,2,2,2,51,3,10,0,0,0,3,0,3,0,11,5,1,5,6,2,0,9,5,0,2,1,1,2,0,3,0,2,0,1,0,0,3,0,1,0,1,0,2,2,1,0,0,14,0,14,7,3,0,1,0,15,2,0,4,0,8,0,2,128,1,4,0,12,38,0,1,3,0,0,3,12,0,7,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,90,284,37,16,324,44,6,19,0,343,477,37,327,493
Disord 55-59,687,380,0,1,0,0,2,1,0,0,0,0,1,1,0,1,10,0,11,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,3,2,0,0,2,0,11,0,2,2,0,1,0,0,0,0,0,4,1,3,0,48,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,4,1,0,0,8,22,3,0,1,23,0,5,0,0,0,1,1,4,1,10,1,0,8,3,0,0,2,2,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,1,1,2,0,0,5,0,4,2,0,0,1,0,4,1,0,2,0,6,0,1,66,1,1,1,4,19,0,2,0,0,3,2,8,0,6,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,48,123,15,16,153,13,3,9,0,152,228,17,157,223
Disord 60-64,688,195,0,2,0,2,1,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,1,0,2,2,0,0,1,0,5,0,2,1,0,1,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,2,0,0,1,5,18,2,0,0,8,0,0,0,0,0,3,0,1,0,5,1,0,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,1,1,0,1,0,0,1,1,0,5,0,2,0,0,21,1,0,0,4,6,0,1,0,0,1,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,74,6,6,61,3,7,6,0,74,121,10,91,104
Disord 65+,689,144,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,0,1,0,0,0,0,3,0,10,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,9,6,0,0,11,0,0,2,0,0,0,0,2,0,5,0,0,1,0,1,0,3,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,1,0,1,1,0,0,0,3,0,1,0,0,0,0,0,4,0,0,1,0,2,0,0,13,1,0,2,1,7,2,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,41,7,5,51,4,2,3,0,42,102,8,82,62
Disord Black,691,"4,299",0,35,1,0,0,0,0,0,2,0,2,0,0,4,260,0,27,0,0,0,0,0,0,0,10,0,2,2,0,1,0,1,1,55,0,0,10,1,1,0,1,0,15,7,0,0,1,0,75,0,2,11,0,10,0,0,3,0,3,1,2,55,0,"1,086",0,2,0,0,5,0,0,0,0,0,0,0,14,2,0,77,0,0,14,32,1,2,0,35,264,0,0,0,441,2,68,0,0,0,7,0,4,0,65,31,0,8,2,2,0,11,2,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,1,0,4,0,0,2,2,0,0,60,0,15,32,0,0,1,0,30,1,0,41,0,5,0,0,848,5,1,1,60,241,0,2,5,0,1,1,24,1,84,3,2,3,0,0,0,14,0,1,0,1,3,0,1,2,0,5,0,12,486,"1,680",36,42,"1,824",135,59,37,0,"2,695","1,604",41,"1,266","3,033"
