Description,Index,Connecticut,Andover,Ansonia PD,Ashford CSP,Avon PD,Barkhamsted CSP,Beacon Falls CSP,Berlin PD,Bethany CSP,Bethel PD,Bethlehem CSP,Bloomfield PD,Bolton CSP,Bozrah CSP,Branford PD,Bridgeport PD,Bridgewater CSP,Bristol PD,Brookfield PD,Brooklyn CSP,Burlington CSP,Canaan CSP,Canterbury CSP,Canton PD,Chaplin CSP,Cheshire PD,Chester CSP,Clinton PD,Colchester CSP,Colebrook CSP,Columbia CSP,Cornwall CSP,Coventry PD,Cromwell PD,Danbury PD,Darien PD,Deep River CSP,Derby PD,Durham CSP,Eastford CSP,East Granby CSP,East Haddam CSP,East Hampton PD,East Hartford PD,East Haven PD,East Lyme CSP,Easton PD,East Windsor PD,Ellington CSP,Enfield PD,Essex CSP,Fairfield PD,Farmington PD,Franklin CSP,Glastonbury PD,Goshen CSP,Granby PD,Greenwich PD,Griswold CSP,Groton City PD,Guilford PD,Haddam CSP,Hamden PD,Hampton CSP,Hartford PD,Hartland CSP,Harwinton CSP,Hebron CSP,Kent CSP,Killingly CSP,Killingworth CSP,Lebanon CSP,Ledyard CSP,Lisbon CSP,Litchfield CSP,Lyme CSP,Madison PD,Manchester PD,Mansfield CSP,Marlborough CSP,Meriden PD,Middlebury PD,Middlefield CSP,Middletown PD,Milford PD,Monroe PD,Montville CSP,Morris CSP,Naugatuck PD,New Britain PD,New Canaan PD,New Fairfield CSP,New Hartford CSP,New Haven PD,Newington PD,New London PD,New Milford PD,Newtown PD,Norfolk CSP,North Branford PD,North Canaan CSP,North Haven PD,North Stonington CSP,Norwalk PD,Norwich PD,Old Lyme CSP,Old Saybrook PD,Orange PD,Oxford CSP,Plainfield PD,Plainville PD,Plymouth PD,Pomfret CSP,Portland PD,Preston CSP,Prospect CSP,Putnam PD,Putnam CSP,Redding PD,Ridgefield PD,Rocky Hill PD,Roxbury CSP,Salem CSP,Salisbury CSP,Scotland CSP,Seymour PD,Sharon CSP,Shelton PD,Sherman CSP,Simsbury PD,Somers CSP,Southbury CSP,Southington PD,South Windsor PD,Sprague CSP,Stafford CSP,Stamford PD,Sterling CSP,Stonington PD,Stratford PD,Suffield PD,Thomaston PD,Thompson CSP,Tolland CSP,Torrington PD,Trumbull PD,Union CSP,Vernon PD,Voluntown CSP,Wallingford PD,Warren CSP,Washington CSP,Waterbury PD,Waterford PD,Watertown PD,Westbrook CSP,West Hartford PD,West Haven PD,Weston PD,Westport PD,Wethersfield PD,Willington CSP,Wilton PD,Winchester PD,Willimantic PD,Windham CSP,Windsor PD,Windsor Locks PD,Wolcott PD,Woodbridge PD,Woodbury CSP,Woodstock CSP,Yale Univ. PD,UCONN-Storrs PD,Foxwoods Casino CSP,Mohegan Sun Casino CSP,MTA PD,CCSU PD,ECSU PD,UCONN Health Ctr. PD,WCSU PD,SCSU PD,Capitol Police PD,Groton Town PD,Groton Long Pt. PD,CTSPOther,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham,New York,Urban,NonUrban,CSP Total,NIBRS,Summary
Rape Attempted Clearances,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,4,3,0,3,4
Robbery Highway Offenses,12,"2,058",0,11,0,0,0,0,1,0,0,0,3,0,0,0,424,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,23,4,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,22,0,444,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,34,0,0,2,5,0,0,0,0,56,0,0,0,584,0,18,0,0,0,0,0,2,0,34,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,108,0,1,9,0,0,0,0,3,0,0,1,0,0,0,0,136,1,0,0,6,30,0,1,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,605,563,3,6,832,38,1,10,0,"1,696",362,7,874,"1,184"
Robbery Highway Value_Stolen,13,"838,240",0,"4,830",0,0,0,0,320,0,0,0,"10,269",0,0,0,"228,956",0,796,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"9,469",0,0,2,0,0,0,0,0,"2,739","3,226",0,0,80,0,0,100,0,0,"1,841",0,0,0,540,420,0,0,0,"5,926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,111",0,0,"14,377",0,0,331,"1,273",0,0,0,0,"74,126",0,0,0,"317,523",0,"3,614",0,0,0,0,0,293,0,"6,828",474,0,0,0,0,300,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,150,0,420,0,0,0,0,0,0,0,0,"39,785",0,110,"2,441",0,0,0,0,"1,300",0,0,15,0,0,0,0,"83,825",516,0,0,"2,499","6,873",0,0,0,0,0,0,"1,405",0,"3,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,201,"288,439","100,724","1,300",632,"438,299","7,125",15,"1,706",0,"670,089","168,151","2,563","412,656","425,584"
Robbery Commercial_House Offenses,14,484,0,1,0,2,0,0,0,0,0,0,1,0,0,1,55,0,14,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,7,0,0,3,0,0,0,0,0,12,5,0,0,5,0,0,0,5,11,0,3,0,0,1,0,0,0,0,18,0,51,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,0,0,6,0,0,0,0,3,13,1,0,0,65,4,9,1,0,0,0,0,6,1,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,0,0,14,1,0,14,0,0,0,0,3,4,0,5,0,4,0,0,24,4,2,0,19,10,0,0,4,0,0,0,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,105,182,6,15,151,16,5,4,0,209,275,6,293,191
Robbery Commercial_House Value_Stolen,15,"754,445",0,239,0,345,0,0,0,0,0,0,165,0,0,80,"27,529",0,"3,011",0,0,0,0,0,1,0,0,0,"17,508",0,0,0,0,0,527,"52,882",0,0,"1,063",0,0,0,0,0,"18,869","17,129",0,0,"14,388",0,0,0,"5,507","4,935",0,"1,209",0,0,0,0,0,0,0,"68,292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,403",0,200,210,0,0,946,0,0,0,0,"31,554","17,169","55,600",0,0,"74,806",819,"1,243",31,0,0,0,0,"2,008",114,"7,307",0,0,0,"41,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,"1,539",122,0,0,"10,764",600,0,"6,944",0,0,0,0,390,"55,025",0,"12,420",0,"33,252",0,0,"37,180","1,168",144,0,"93,829","1,775",0,0,304,0,0,0,700,748,"10,756",625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,"1,865","221,558","184,689",565,"20,846","309,547","2,772","12,420","2,048",0,"150,279","604,166","3,527","600,356","154,089"
Robbery Gas/Service_Station Offenses,16,76,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,4,0,0,0,9,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,1,2,27,1,4,0,0,18,58,4,42,34
Robbery Gas/Service_Station Value_Stolen,17,"33,110",0,700,0,0,0,0,7,0,0,0,0,0,0,0,"3,700",0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,500,"1,100",0,0,0,0,0,0,0,0,16,0,0,0,0,520,"4,800",0,687,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,680",0,0,0,0,0,0,0,1,76,0,0,0,"2,966",0,0,0,0,0,0,0,150,0,"2,427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,452",0,0,0,0,0,0,0,0,0,1,0,486,0,0,0,0,0,0,1,0,0,0,0,0,300,0,"2,079",0,0,0,0,"5,432",0,0,0,0,643,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,215","9,263",0,650,"11,572",810,"2,600",0,0,"12,098","21,012","1,481","12,227","20,883"
Robbery Chain_Store Offenses,18,202,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,1,0,0,0,7,0,1,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,6,15,0,0,0,40,0,3,0,0,0,0,0,3,0,2,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,16,0,0,0,1,5,0,0,0,1,0,0,3,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,53,2,2,84,8,1,6,0,88,114,6,117,85
Robbery Chain_Store Value_Stolen,19,"125,410",0,770,0,0,0,0,0,0,0,0,0,0,0,169,"16,571",0,"10,843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,675","1,920",0,0,"2,801",2,0,0,0,0,"1,578",0,"1,878",0,0,0,"21,022",0,386,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,"3,855","4,594",0,0,0,"11,953",0,"1,007",0,0,0,0,0,492,0,651,0,0,0,0,0,210,"5,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,756,0,0,0,"8,998",0,0,"11,238",0,500,0,0,450,0,0,0,0,0,0,0,"7,383",0,0,0,100,"2,132",0,0,0,570,0,0,40,0,800,"1,423",116,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,764","46,769",950,"2,677","31,345","2,885",570,450,0,"44,905","80,505","2,650","65,475","59,935"
Robbery Residence Offenses,20,320,0,0,0,0,0,0,1,0,0,0,2,0,2,0,65,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,0,14,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,36,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,13,0,0,7,0,0,1,0,1,9,0,0,0,54,0,12,1,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,1,1,0,0,10,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,27,0,1,0,1,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,89,84,5,8,109,20,2,3,0,192,128,7,144,176
Robbery Residence Value_Stolen,21,"244,146",0,0,0,0,0,0,157,0,0,0,909,0,600,0,"56,814",0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,878",0,"1,435",0,0,90,0,0,0,0,0,"12,130",250,0,0,"1,552",0,130,0,0,0,0,0,0,0,0,0,0,0,0,"16,395",0,0,0,0,0,0,1,0,0,0,0,0,0,0,306,0,0,"4,886",0,0,978,0,0,1,0,0,801,0,0,0,"29,243",0,"10,062",1,0,0,0,0,0,0,"9,961",30,0,0,0,0,0,581,0,0,0,0,0,1,0,0,0,500,0,0,360,0,0,0,40,0,"10,986",0,1,160,0,0,0,"7,050",0,0,0,0,1,0,0,"4,000","34,760",0,0,0,100,0,0,"31,567",0,2,0,426,"2,410",0,0,900,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,160,"110,060","29,934","4,364","1,138","84,942","10,763","2,878",67,0,"124,674","119,472","1,123","144,686","99,460"
Robbery Bank Offenses,22,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,17,0,5,22,4,3,1,0,21,47,8,40,28
Robbery Bank Value_Stolen,23,"294,841",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"8,100",0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,998",0,0,0,0,"4,950",0,0,0,0,700,0,0,0,0,0,"5,425",250,3,0,0,0,0,0,1,0,0,0,"2,001","4,921",0,0,0,0,100,0,"1,506",0,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"18,346",0,0,0,0,"31,115",0,"1,343",0,759,0,"3,156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,500",0,0,0,0,798,0,0,0,0,"10,343",0,"24,800",0,0,0,0,0,0,0,0,"14,078",0,"11,325","1,300",0,0,0,0,0,0,0,"79,950",0,0,0,0,"17,847",0,0,0,800,"3,610",0,0,0,0,0,0,0,0,"3,458",0,0,"5,849",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,607",0,1,"49,625","43,197",0,"28,200","73,175","19,088","80,050","1,506",0,"40,784","254,057","19,651","207,600","87,241"
Robbery Miscellaneous Offenses,24,320,0,2,0,1,0,0,1,0,0,0,2,0,0,0,10,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,2,0,0,1,0,4,1,1,0,0,1,0,0,2,0,0,0,0,13,0,24,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,30,0,0,7,14,2,0,0,2,10,0,0,0,15,5,7,3,0,0,0,0,2,0,10,8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,3,1,2,18,0,0,10,0,0,0,0,2,3,0,3,0,2,0,0,21,1,1,0,6,14,0,0,1,0,0,0,1,0,1,0,0,1,0,0,3,1,0,1,3,0,0,0,0,1,0,1,0,3,63,82,7,11,127,21,6,3,0,88,232,13,158,162
