Description,Index,Connecticut,Andover,Ansonia PD,Ashford CSP,Avon PD,Barkhamsted CSP,Beacon Falls CSP,Berlin PD,Bethany CSP,Bethel PD,Bethlehem CSP,Bloomfield PD,Bolton CSP,Bozrah CSP,Branford PD,Bridgeport PD,Bridgewater CSP,Bristol PD,Brookfield PD,Brooklyn CSP,Burlington CSP,Canaan CSP,Canterbury CSP,Canton PD,Chaplin CSP,Cheshire PD,Chester CSP,Clinton PD,Colchester CSP,Colebrook CSP,Columbia CSP,Cornwall CSP,Coventry PD,Cromwell PD,Danbury PD,Darien PD,Deep River CSP,Derby PD,Durham CSP,Eastford CSP,East Granby CSP,East Haddam CSP,East Hampton PD,East Hartford PD,East Haven PD,East Lyme CSP,Easton PD,East Windsor PD,Ellington CSP,Enfield PD,Essex CSP,Fairfield PD,Farmington PD,Franklin CSP,Glastonbury PD,Goshen CSP,Granby PD,Greenwich PD,Griswold CSP,Groton City PD,Guilford PD,Haddam CSP,Hamden PD,Hampton CSP,Hartford PD,Hartland CSP,Harwinton CSP,Hebron CSP,Kent CSP,Killingly CSP,Killingworth CSP,Lebanon CSP,Ledyard CSP,Lisbon CSP,Litchfield CSP,Lyme CSP,Madison PD,Manchester PD,Mansfield CSP,Marlborough CSP,Meriden PD,Middlebury PD,Middlefield CSP,Middletown PD,Milford PD,Monroe PD,Montville CSP,Morris CSP,Naugatuck PD,New Britain PD,New Canaan PD,New Fairfield CSP,New Hartford CSP,New Haven PD,Newington PD,New London PD,New Milford PD,Newtown PD,Norfolk CSP,North Branford PD,North Canaan CSP,North Haven PD,North Stonington CSP,Norwalk PD,Norwich PD,Old Lyme CSP,Old Saybrook PD,Orange PD,Oxford CSP,Plainfield PD,Plainville PD,Plymouth PD,Pomfret CSP,Portland PD,Preston CSP,Prospect CSP,Putnam PD,Putnam CSP,Redding PD,Ridgefield PD,Rocky Hill PD,Roxbury CSP,Salem CSP,Salisbury CSP,Scotland CSP,Seymour PD,Sharon CSP,Shelton PD,Sherman CSP,Simsbury PD,Somers CSP,Southbury CSP,Southington PD,South Windsor PD,Sprague CSP,Stafford CSP,Stamford PD,Sterling CSP,Stonington PD,Stratford PD,Suffield PD,Thomaston PD,Thompson CSP,Tolland CSP,Torrington PD,Trumbull PD,Union CSP,Vernon PD,Voluntown CSP,Wallingford PD,Warren CSP,Washington CSP,Waterbury PD,Waterford PD,Watertown PD,Westbrook CSP,West Hartford PD,West Haven PD,Weston PD,Westport PD,Wethersfield PD,Willington CSP,Wilton PD,Winchester PD,Willimantic PD,Windham CSP,Windsor PD,Windsor Locks PD,Wolcott PD,Woodbridge PD,Woodbury CSP,Woodstock CSP,Yale Univ. PD,UCONN-Storrs PD,Foxwoods Casino CSP,Mohegan Sun Casino CSP,MTA PD,CCSU PD,ECSU PD,UCONN Health Ctr. PD,WCSU PD,SCSU PD,Capitol Police PD,Groton Town PD,Groton Long Pt. PD,CTSPOther,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham,New York,Urban,NonUrban,CSP Total,NIBRS,Summary
Population,1,"3,594,649","3,205","19,583","4,325","16,709","3,687","5,537","19,227","5,319","19,069","3,611","20,674","5,295","2,489","30,275","147,278","1,926","63,396","16,534","7,572","8,644","1,139","4,953","9,330","2,372","30,128","3,950","13,823","15,358","1,554","5,246","1,516","12,143","13,584","79,004","20,695","4,867","13,079","6,995","1,708","5,008","8,797","14,094","52,328","29,753","19,125","7,675","10,363","13,639","47,723","6,867","60,525","24,954","1,937","33,645","2,846","10,920","64,493","11,408","9,771","22,587","7,554","60,072","1,854","128,328","2,125","5,574","9,087","3,017","17,386","6,353","7,292","15,503","4,295","8,778","2,129","18,850","57,780","21,873","6,026","61,477","6,809","4,436","45,563","55,211","20,313","19,574","2,430","32,709","75,510","20,473","14,729","6,426","130,490","30,934","27,097","28,626","26,421","1,751","14,680","3,537","24,313","5,269","87,556","38,124","7,817","10,942","13,969","10,366","15,430","18,291","12,279","4,009","9,217","4,948","9,191","7,260","2,242","8,729","24,956","18,964","2,254","4,072","4,199","1,641","16,313","3,134","40,217","4,041","24,525","10,994","19,597","41,934","25,767","3,137","11,934","123,583","3,272","18,900","52,749","14,305","7,921","9,370","13,876","37,156","36,142",730,"29,619","2,668","45,416","1,324","3,795","113,228","20,216","22,863","6,640","67,119","55,268","10,594","27,180","27,730","6,291","18,612","11,257","17,395","6,731","29,805","12,712","16,059","9,480","9,709","7,621",0,0,0,0,0,0,0,0,0,0,0,"31,719",634,"3,071,153","931,568","904,776","192,309","163,682","869,759","273,482","143,932","115,141",0,"642,907","2,951,742","523,496","6,665,802",0
Murder Offenses,2,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,0,2,27,6,1,3,0,59,27,6,38,48
Murder Clearances,3,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,1,2,16,6,0,2,0,34,27,5,29,32
Murder Value_Stolen,4,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,262,0,0,262,0
NgMansl Offenses,5,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,2,5,1,6,1
NgMansl Clearances,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,2,3,0,3,2
Rape Value_Stolen,7,"22,707",0,"15,000",0,0,0,0,0,0,0,0,0,0,0,0,"5,130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"7,135",1,0,0,"15,570",1,0,0,0,"7,700","15,007",0,"17,577","5,130"
Rape Committed Offenses,8,602,1,5,1,0,0,0,1,0,2,0,7,0,0,0,70,0,11,0,3,0,0,0,1,0,0,0,3,1,0,0,0,1,0,22,0,0,1,0,0,0,1,0,24,3,1,0,2,0,1,0,4,3,0,0,0,1,3,2,0,1,0,7,0,53,0,1,0,0,2,0,1,1,0,0,0,0,16,1,1,18,0,0,11,1,0,3,0,8,20,3,2,0,57,6,18,5,3,0,2,0,1,0,14,14,0,2,0,1,2,4,1,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,2,0,2,1,0,13,4,1,2,21,0,3,6,2,0,1,0,9,0,0,5,0,3,0,1,2,0,3,0,0,0,1,0,3,0,0,3,3,1,2,5,2,0,0,1,3,9,1,0,0,1,0,0,0,3,0,16,0,5,153,184,23,22,119,62,20,19,0,203,399,39,366,236
Rape Committed Clearances,9,509,0,0,0,0,0,0,0,0,1,0,6,0,0,0,313,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,14,1,1,0,0,0,1,0,3,2,0,1,0,1,1,0,0,0,0,4,0,16,0,1,0,0,1,0,0,1,0,0,0,0,5,1,0,9,0,0,2,0,0,1,0,3,2,0,1,0,26,3,1,1,0,0,1,0,0,0,4,5,0,2,1,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,7,0,1,1,9,0,1,1,1,0,1,0,5,0,0,1,0,2,0,0,3,0,3,0,0,0,0,1,2,0,0,1,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,338,71,11,7,55,15,5,7,0,367,142,14,144,365
Rape Attempted Offenses,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,2,2,0,6,0,0,0,0,16,13,0,13,16
