Year,Department,County,Pop of Jurisdaiction,"Employee Rate Per 1,000 Pop.",Total Personnel,Sworn Male ,Sworn Female,Civilian Male,Civilian Female
2012,PORTLAND,MidSex,"9,556",1.26,12,11,0,0,1
2012,PUTNAM MUNICIPAL,Wind,"7,191",2.5,18,14,1,2,1
2012,REDDING,Fair,"9,275",2.26,21,13,2,6,0
2012,RIDGEFIELD,Fair,"24,952",1.84,46,36,4,3,3
2012,ROCKY HILL,Hart,"19,776",2.17,43,31,3,5,4
2012,SEYMOUR,NH,"16,558",2.6,43,37,3,1,2
2012,SHELTON,Fair,"40,062",1.52,61,49,3,5,4
2012,SIMSBURY,Hart,"23,591",1.82,43,30,4,2,7
2012,SOUTH WINDSOR,Hart,"25,798",2.02,52,34,6,4,8
2012,SOUTHINGTON,Hart,"43,219",2.06,89,64,4,13,8
2012,STAMFORD,Fair,"124,201",2.61,324,247,22,30,25
2012,STONINGTON,NL,"18,556",2.53,47,32,3,5,7
2012,STRATFORD,Fair,"52,041",1.98,103,86,10,2,5
2012,SUFFIELD,Hart,"15,789",1.27,20,19,0,0,1
2012,THOMASTON,Litch,"7,859",1.65,13,10,0,3,0
2012,TORRINGTON,Litch,"36,264",2.43,88,77,4,2,5
2012,TRUMBULL,Fair,"36,474",2.22,81,68,4,1,8
2012,VERNON,Toll,"29,217",2.22,65,48,4,5,8
2012,WALLINGFORD,NH,"45,183",1.99,90,57,9,9,15
2012,WATERBURY,NH,"110,486",3.01,333,255,25,18,35
2012,WATERFORD,NL,"19,529",2.71,53,40,6,1,6
2012,WATERTOWN,Litch,"22,437",2.18,49,36,4,2,7
2012,WEST HARTFORD,Hart,"63,487",2.28,145,117,9,6,13
2012,WEST HAVEN,NH,"55,626",2.39,133,110,14,1,8
2012,WESTON,Fair,"10,309",1.46,15,14,0,0,1
2012,WESTPORT,Fair,"26,728",2.77,74,53,8,5,8
2012,WETHERSFIELD,Hart,"26,762",2.06,55,40,4,3,8
2012,WILLIMANTIC,Wind,"17,818",2.64,47,41,2,0,4
2012,WILTON,Fair,"18,291",2.57,47,40,3,2,2
2012,WINCHESTER,Litch,"11,205",1.96,22,17,1,2,2
2012,WINDSOR,Hart,"29,145",2.09,61,39,10,3,9
2012,WINDSOR LOCKS,Hart,"12,541",2.55,32,24,1,4,3
2012,WOLCOTT,NH,"16,697",1.98,33,24,0,2,7
2012,WOODBRIDGE,NH,"9,000",3.78,34,25,1,4,4
2012,C.C.S.U.,Hart,,,27,20,1,2,4
2012,E.C.S.U.,Wind,,,24,14,3,3,4
2012,S.C.S.U.,NH,,,34,22,5,3,4
2012,W.C.S.U.,Fair,,,23,16,0,4,3
2012,UCONN-STORRS,Toll,,,81,58,8,7,8
2012,UCONN HEALTH CTR,Hart,,,34,14,1,13,6
2012,YALE,NH,,,99,68,16,6,9
2012,STATE CAPITOL,Hart,,,37,27,1,7,2
2012,METROPOLITAN TA,,,,734,594,73,25,42
2011,STATE POLICE,,"541,537",2.81,"1,524",965,76,206,277
2011,ANSONIA,NH,"19,285",2.64,51,41,3,1,6
2011,AVON,Hart,"18,131",1.93,35,22,7,1,5
2011,BERLIN,Hart,"19,903",2.66,53,37,4,5,7
2011,BETHEL,Fair,"18,618",2.52,47,32,3,6,6
2011,BLOOMFIELD,Hart,"20,524",2.78,57,40,6,8,3
2011,BRANFORD,NH,"28,078",2.17,61,46,3,7,5
2011,BRIDGEPORT,Fair,"144,496",3.29,476,374,47,18,37
